Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 5",1,121,350,150,25,5,100,24,28,100,1,16
3,invalid,"invalid",2,117,350,150,25,5,100,24,28,100,1,16
4,move,"move 2 17",3,122,350,150,25,5,100,24,28,100,2,17
5,dig,"dig 26 6",1,129,350,150,25,5,100,24,28,100,2,17
6,invalid,"invalid",2,125,350,150,25,5,100,24,28,100,2,17
7,move,"move 1 16",3,130,350,150,25,5,100,24,28,100,1,16
8,dig,"dig 26 4",1,137,350,150,25,5,100,24,28,100,1,16
9,invalid,"invalid",2,133,350,150,25,5,100,24,28,100,1,16
10,move,"move 0 17",3,138,350,150,25,5,100,24,28,100,0,17
11,dig,"dig 24 6",1,145,350,150,25,5,100,24,28,100,0,17
12,invalid,"invalid",2,141,350,150,25,5,100,24,28,100,0,17
13,move,"move 1 16",3,146,350,150,25,5,100,24,28,100,1,16
14,move,"move 24 6",1,151,350,150,24,6,100,24,28,100,1,16
15,invalid,"invalid",2,147,350,150,24,6,100,24,28,100,1,16
16,move,"move 2 17",3,152,350,150,24,6,100,24,28,100,2,17
17,dig,"dig 23 7",1,159,350,150,24,6,100,24,28,100,2,17
18,invalid,"invalid",2,155,350,150,24,6,100,24,28,100,2,17
19,dig,"dig 1 18",3,162,350,150,24,6,100,24,28,100,2,17
20,move,"move 23 5",1,167,350,150,23,5,100,24,28,100,2,17
21,invalid,"invalid",2,163,350,150,23,5,100,24,28,100,2,17
22,dig,"dig 3 16",3,170,350,150,23,5,100,24,28,100,2,17
23,move,"move 24 4",1,175,350,150,24,4,100,24,28,100,2,17
24,invalid,"invalid",2,171,350,150,24,4,100,24,28,100,2,17
25,move,"move 1 18",3,176,350,150,24,4,100,24,28,100,1,18
26,move,"move 23 5",1,181,350,150,23,5,100,24,28,100,1,18
27,invalid,"invalid",2,177,350,150,23,5,100,24,28,100,1,18
28,move,"move 2 19",3,182,350,150,23,5,100,24,28,100,2,19
29,move,"move 24 4",1,187,350,150,24,4,100,24,28,100,2,19
30,invalid,"invalid",2,183,350,150,24,4,100,24,28,100,2,19
31,move,"move 1 18",3,188,350,150,24,4,100,24,28,100,1,18
32,move,"move 23 3",1,193,350,150,23,3,100,24,28,100,1,18
33,invalid,"invalid",2,189,350,150,23,3,100,24,28,100,1,18
34,move,"move 0 17",3,194,350,150,23,3,100,24,28,100,0,17
35,dig,"dig 22 2",1,201,350,150,23,3,100,24,28,100,0,17
36,invalid,"invalid",2,197,350,150,23,3,100,24,28,100,0,17
37,move,"move 1 16",3,202,350,150,23,3,100,24,28,100,1,16
38,dig,"dig 24 2",1,209,350,150,23,3,100,24,28,100,1,16
39,invalid,"invalid",2,205,350,150,23,3,100,24,28,100,1,16
40,move,"move 0 15",3,210,350,150,23,3,100,24,28,100,0,15
41,dig,"dig 22 4",1,217,350,150,23,3,100,24,28,100,0,15
42,invalid,"invalid",2,213,350,150,23,3,100,24,28,100,0,15
43,dig,"dig 1 14",3,220,350,150,23,3,100,24,28,100,0,15
44,move,"move 22 4",1,225,350,150,22,4,100,24,28,100,0,15
45,invalid,"invalid",2,221,350,150,22,4,100,24,28,100,0,15
46,move,"move 1 14",3,226,350,150,22,4,100,24,28,100,1,14
47,move,"move 21 5",1,231,350,150,21,5,100,24,28,100,1,14
48,invalid,"invalid",2,227,350,150,21,5,100,24,28,100,1,14
49,move,"move 2 15",3,232,350,150,21,5,100,24,28,100,2,15
50,dig,"dig 20 6",1,239,350,150,21,5,100,24,28,100,2,15
51,invalid,"invalid",2,235,350,150,21,5,100,24,28,100,2,15
52,move,"move 3 16",3,240,350,150,21,5,100,24,28,100,3,16
53,move,"move 20 4",1,245,350,150,20,4,100,24,28,100,3,16
54,invalid,"invalid",2,241,350,150,20,4,100,24,28,100,3,16
55,move,"move 2 15",3,246,350,150,20,4,100,24,28,100,2,15
56,dig,"dig 19 5",1,253,350,150,20,4,100,24,28,100,2,15
57,invalid,"invalid",2,249,350,150,20,4,100,24,28,100,2,15
58,dig,"dig 3 14",3,256,350,150,20,4,100,24,28,100,2,15
59,dig,"dig 21 3",1,263,350,150,20,4,100,24,28,100,2,15
60,invalid,"invalid",2,259,350,150,20,4,100,24,28,100,2,15
61,move,"move 1 14",3,264,350,150,20,4,100,24,28,100,1,14
62,dig,"dig 19 3",1,271,350,150,20,4,100,24,28,100,1,14
63,invalid,"invalid",2,267,350,150,20,4,100,24,28,100,1,14
64,move,"move 0 15",3,272,350,150,20,4,100,24,28,100,0,15
65,move,"move 21 5",1,277,350,150,21,5,100,24,28,100,0,15
66,invalid,"invalid",2,273,350,150,21,5,100,24,28,100,0,15
67,move,"move 1 16",3,278,350,150,21,5,100,24,28,100,1,16
68,move,"move 20 4",1,283,350,150,20,4,100,24,28,100,1,16
69,invalid,"invalid",2,279,350,150,20,4,100,24,28,100,1,16
70,move,"move 0 15",3,284,350,150,20,4,100,24,28,100,0,15
71,move,"move 21 3",1,289,350,150,21,3,100,24,28,100,0,15
72,invalid,"invalid",2,285,350,150,21,3,100,24,28,100,0,15
73,move,"move 1 14",3,290,350,150,21,3,100,24,28,100,1,14
74,move,"move 20 4",1,295,350,150,20,4,100,24,28,100,1,14
75,invalid,"invalid",2,291,350,150,20,4,100,24,28,100,1,14
76,move,"move 2 13",3,296,350,150,20,4,100,24,28,100,2,13
77,move,"move 21 5",1,301,350,150,21,5,100,24,28,100,2,13
78,invalid,"invalid",2,297,350,150,21,5,100,24,28,100,2,13
79,move,"move 1 12",3,302,350,150,21,5,100,24,28,100,1,12
80,move,"move 20 4",1,307,350,150,20,4,100,24,28,100,1,12
81,invalid,"invalid",2,303,350,150,20,4,100,24,28,100,1,12
82,dig,"dig 0 11",3,310,350,150,20,4,100,24,28,100,1,12
83,move,"move 19 5",1,315,350,150,19,5,100,24,28,100,1,12
84,invalid,"invalid",2,311,350,150,19,5,100,24,28,100,1,12
85,move,"move 2 13",3,316,350,150,19,5,100,24,28,100,2,13
