Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 3",1,121,350,150,25,3,100,24,28,100,1,16
3,move,"move 25 27",2,126,350,150,25,3,100,25,27,100,1,16
4,move,"move 0 17",3,131,350,150,25,3,100,25,27,100,0,17
5,dig,"dig 24 2",1,138,350,150,25,3,100,25,27,100,0,17
6,dig,"dig 26 28",2,145,350,150,25,3,100,25,27,100,0,17
7,dig,"dig 1 18",3,152,350,150,25,3,100,25,27,100,0,17
8,move,"move 24 4",1,157,350,150,24,4,100,25,27,100,0,17
9,dig,"dig 26 26",2,164,350,150,24,4,100,25,27,100,0,17
10,move,"move 1 16",3,169,350,150,24,4,100,25,27,100,1,16
11,move,"move 25 3",1,174,350,150,25,3,100,25,27,100,1,16
12,move,"move 26 28",2,179,350,150,25,3,100,26,28,100,1,16
13,move,"move 2 17",3,184,350,150,25,3,100,26,28,100,2,17
14,dig,"dig 26 4",1,191,350,150,25,3,100,26,28,100,2,17
15,move,"move 25 27",2,196,350,150,25,3,100,25,27,100,2,17
16,move,"move 1 18",3,201,350,150,25,3,100,25,27,100,1,18
17,move,"move 26 4",1,206,350,150,26,4,100,25,27,100,1,18
18,move,"move 24 28",2,211,350,150,26,4,100,24,28,100,1,18
19,move,"move 2 17",3,216,350,150,26,4,100,24,28,100,2,17
20,move,"move 25 3",1,221,350,150,25,3,100,24,28,100,2,17
21,move,"move 25 29",2,226,350,150,25,3,100,25,29,100,2,17
22,dig,"dig 3 16",3,233,350,150,25,3,100,25,29,100,2,17
23,move,"move 24 4",1,238,350,150,24,4,100,25,29,100,2,17
24,move,"move 26 28",2,243,350,150,24,4,100,26,28,100,2,17
25,dig,"dig 3 18",3,250,350,150,24,4,100,26,28,100,2,17
26,move,"move 23 5",1,255,350,150,23,5,100,26,28,100,2,17
27,nothing,"nothing "Player chose to do nothing"",2,255,350,150,23,5,100,26,28,100,2,17
28,move,"move 1 16",3,260,350,150,23,5,100,26,28,100,1,16
29,move,"move 24 4",1,265,350,150,24,4,100,26,28,100,1,16
30,nothing,"nothing "Player chose to do nothing"",2,265,350,150,24,4,100,26,28,100,1,16
31,move,"move 0 17",3,270,350,150,24,4,100,26,28,100,0,17
32,move,"move 23 3",1,275,350,150,23,3,100,26,28,100,0,17
33,move,"move 25 27",2,280,350,150,23,3,100,25,27,100,0,17
34,move,"move 1 18",3,285,350,150,23,3,100,25,27,100,1,18
35,move,"move 24 2",1,290,350,150,24,2,100,25,27,100,1,18
36,move,"move 26 28",2,295,350,150,24,2,100,26,28,100,1,18
37,move,"move 2 17",3,300,350,150,24,2,100,26,28,100,2,17
38,move,"move 25 3",1,305,350,150,25,3,100,26,28,100,2,17
39,nothing,"nothing "Player chose to do nothing"",2,305,350,150,25,3,100,26,28,100,2,17
40,move,"move 1 18",3,310,350,150,25,3,100,26,28,100,1,18
41,nothing,"nothing "Player chose to do nothing"",1,310,350,150,25,3,100,26,28,100,1,18
42,move,"move 25 29",2,315,350,150,25,3,100,25,29,100,1,18
43,move,"move 0 17",3,320,350,150,25,3,100,25,29,100,0,17
44,move,"move 26 4",1,325,350,150,26,4,100,25,29,100,0,17
45,move,"move 26 28",2,330,350,150,26,4,100,26,28,100,0,17
46,move,"move 1 16",3,335,350,150,26,4,100,26,28,100,1,16
47,move,"move 25 5",1,340,350,150,25,5,100,26,28,100,1,16
48,nothing,"nothing "Player chose to do nothing"",2,340,350,150,25,5,100,26,28,100,1,16
49,move,"move 2 15",3,345,350,150,25,5,100,26,28,100,2,15
50,move,"move 26 4",1,350,350,150,26,4,100,26,28,100,2,15
51,nothing,"nothing "Player chose to do nothing"",2,350,350,150,26,4,100,26,28,100,2,15
52,dig,"dig 3 14",3,357,350,150,26,4,100,26,28,100,2,15
53,move,"move 25 5",1,362,350,150,25,5,100,26,28,100,2,15
54,move,"move 25 29",2,367,350,150,25,5,100,25,29,100,2,15
55,move,"move 3 14",3,372,350,150,25,5,100,25,29,100,3,14
56,move,"move 26 4",1,377,350,150,26,4,100,25,29,100,3,14
57,nothing,"nothing "Player chose to do nothing"",2,377,350,150,26,4,100,25,29,100,3,14
58,move,"move 4 13",3,382,350,150,26,4,100,25,29,100,4,13
59,move,"move 27 5",1,387,350,150,27,5,100,25,29,100,4,13
60,nothing,"nothing "Player chose to do nothing"",2,387,350,150,27,5,100,25,29,100,4,13
61,dig,"dig 5 12",3,394,350,150,27,5,100,25,29,100,4,13
62,move,"move 26 4",1,399,350,150,26,4,100,25,29,100,4,13
63,nothing,"nothing "Player chose to do nothing"",2,399,350,150,26,4,100,25,29,100,4,13
64,dig,"dig 3 12",3,406,350,150,26,4,100,25,29,100,4,13
